englishName,fourCode,sciName,sixCode
Caspian Tern,CATE,Hydroprogne caspia,HYDCAP
Cassia Crossbill,CACR,Loxia sinesciuris,LOXSIN
Cassin's Auklet,CAAU,Ptychoramphus aleuticus,PTYALE
Cassin's Finch,CAFI,Haemorhous cassinii,HAECAS
Cassin's Kingbird,CAKI,Tyrannus vociferans,TYRVOC
Cassin's Sparrow,CASP,Peucaea cassinii,PEUCAS
Cassin's Vireo,CAVI,Vireo cassinii,VIRCAS
Cattle Egret,CAEG,Bubulcus ibis,BUBIBI
Cattle Tyrant,CATY,Machetornis rixosa,MACRIX
Cave Swallow,CASW,Petrochelidon fulva,PETFUL
Cedar Waxwing,CEDW,Bombycilla cedrorum,BOMCED
Central American Pygmy-Owl,CAPO,Glaucidium griseiceps,GLAGRI
Cerulean Warbler,CERW,Setophaga cerulea,SETCER
Chapman's Swift,CHAS,Chaetura chapmani,CHACHA
Charming Hummingbird,CHHU,Polyerata decora,POLDEC
Chatham Albatross,CHAL,Thalassarche eremita,THAERE
Checker-throated Stipplethroat,CTST,Epinecrophylla fulviventris,EPIFUL
Chestnut Munia,CHMU,Lonchura atricapilla,LONATR
Chestnut-backed Antbird,CBAN,Poliocrania exsul,POLEXS
Chestnut-backed Chickadee,CBCH,Poecile rufescens,POERUF
Chestnut-bellied Cuckoo,CBCU,Coccyzus pluvialis,COCPLU
Chestnut-bellied Sandgrouse,CBSA,Pterocles exustus,PTEEXU
Chestnut-capped Brushfinch,CCBR,Arremon brunneinucha,ARRBRU
Chestnut-capped Warbler,CCAW,Basileuterus delattrii,BASDEL
Chestnut-collared Longspur,CCLO,Calcarius ornatus,CALORN
Chestnut-collared Swift,CCSW,Streptoprocne rutila,STRRUT
Chestnut-colored Woodpecker,CCOW,Celeus castaneus,CELCAS
Chestnut-fronted Macaw,CFMA,Ara severus,ARASEV
Chestnut-headed Oropendola,CHOR,Psarocolius wagleri,PSAWAG
Chestnut-sided Shrike-Vireo,CSSV,Vireolanius melitophrys,VIRMEL
Chestnut-sided Warbler,CSWA,Setophaga pensylvanica,SETPEN
Chihuahuan Raven,CHRA,Corvus cryptoleucus,CORCRY
Chimney Swift,CHSW,Chaetura pelagica,CHAPEL
Chinese Egret,CHEG,Egretta eulophotes,EGREUL
Chinese Pond-Heron,CHPH,Ardeola bacchus,ARDBAC
Chinese Sparrowhawk,CHIS,Accipiter soloensis,ACCSOL
Chipping Sparrow,CHSP,Spizella passerina,SPIPAS
Chiriqui Foliage-gleaner,CHFG,Automolus exsertus,AUTEXS
Chiriqui Quail-Dove,CHQD,Zentrygon chiriquensis,ZENCHI
Choco Screech-Owl,CHSO,Megascops centralis,MEGCEN
Choco Sirystes,CHSI,Sirystes albogriseus,SIRALB
Choco Tapaculo,CHTA,Scytalopus chocoensis,SCYCHO
Choco Tinamou,CHTI,Crypturellus kerriae,CRYKER
Christmas Shearwater,CHSH,Puffinus nativitatis,PUFNAT
Chuck-will's-widow,CWWI,Antrostomus carolinensis,ANTCAR
Chukar,CHUK,Alectoris chukar,ALECHU
Cinereous Becard,CIRB,Pachyramphus rufus,PACRUF
Cinereous Owl,CIOW,Strix sartorii,STRSAR
Cinnamon Becard,CIMB,Pachyramphus cinnamomeus,PACCIN
Cinnamon Hummingbird,CIHU,Amazilia rutila,AMARUT
Cinnamon Teal,CITE,Spatula cyanoptera,SPACYA
Cinnamon Woodpecker,CIWO,Celeus loricatus,CELLOR
Cinnamon-bellied Flowerpiercer,CBFL,Diglossa baritula,DIGBAR
Cinnamon-rumped Seedeater,CRSE,Sporophila torqueola,SPOTOR
Cinnamon-tailed Sparrow,CTSP,Peucaea sumichrasti,PEUSUM
Citreoline Trogon,CITR,Trogon citreolus,TROCIT
Citrine Wagtail,CIWA,Motacilla citreola,MOTCIT
Clapper Rail,CLRA,Rallus crepitans,RALCRE
Clarion Wren,CLWR,Troglodytes tanneri,TROTAN
Clark's Grebe,CLGR,Aechmophorus clarkii,AECCLA
Clark's Nutcracker,CLNU,Nucifraga columbiana,NUCCOL
Clay-colored Sparrow,CCSP,Spizella pallida,SPIPAL
Clay-colored Thrush,CCTH,Turdus grayi,TURGRA
Cliff Swallow,CLSW,Petrochelidon pyrrhonota,PETPYR
Cocoa Thrush,COCT,Turdus fumigatus,TURFUM
Cocoa Woodcreeper,COWO,Xiphorhynchus susurrans,XIPSUS
Cocoi Heron,COHE,Ardea cocoi,ARDCOC
Cocos Cuckoo,COCC,Coccyzus ferrugineus,COCFER
Cocos Finch,COFI,Pinaroloxias inornata,PININO
Cocos Flycatcher,COCF,Nesotriccus ridgwayi,NESRID
Coiba Spinetail,COSP,Cranioleuca dissita,CRADIS
Colima Pygmy-Owl,CPYO,Glaucidium palmarum,GLAPAL
Colima Warbler,COLW,Leiothlypis crissalis,LEICRI
Collared Aracari,COAR,Pteroglossus torquatus,PTETOR
Collared Forest-Falcon,COFF,Micrastur semitorquatus,MICSEM
Collared Plover,COPL,Charadrius collaris,CHACOL
Collared Pratincole,COPR,Glareola pratincola,GLAPRA
Collared Redstart,COLR,Myioborus torquatus,MYITOR
Collared Towhee,COTO,Pipilo ocai,PIPOCA
Collared Trogon,COTR,Trogon collaris,TROCOL
